NM_MUN,date,precipitation,SIGLA_UF,Lat,Long
Barra do Turvo,2023-10-26,"6,121511936",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-25,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-24,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-23,"4,455461025",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-22,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-20,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-19,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-17,"47,23482132",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-16,"18,01038933",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-14,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-13,"8,160904884",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-12,"45,24860382",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-10,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-09,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-08,"43,56604385",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-07,"8,584956169",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-05,"21,70258141",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-04,"52,10208893",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-03,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-02,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-10-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-30,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-26,"8,49701786",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-25,"11,78813744",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-24,"8,447122574",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-23,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-22,"5,101280689",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-21,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-20,"9,253273964",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-19,"4,013662338",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-18,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-17,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-16,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-15,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-14,"3,934710026",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-13,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-12,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-11,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-10,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-09,"5,451782703",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-08,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-07,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-06,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-05,"11,32013702",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-04,"5,810133457",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-03,"5,810133457",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-02,"23,17513847",SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-09-01,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-31,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-30,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-29,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-28,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-27,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-26,0,SP,"-24,88874209","-48,42697368"
Barra do Turvo,2023-08-25,0,SP,"-24,88874209","-48,42697368"
